MediaID,CompanyID
493529,31
447365,15
758323,38
640146,33
934433,24
502356,14
649609,25
420808,47
713704,49
76600,7
868759,46
114922,5
125988,3
85937,14
603692,35
594767,10
1102776,27
82856,13
700391,12
196454,48
225008,3
385687,30
739405,35
124800,21
156819,2
948713,47
103768,5
876969,39
677179,48
114478,31
942199,3
37854,32
804150,32
1085103,36
124364,25
203857,6
76331,13
916224,49
100088,38
1429,22
505642,45
315162,37
447277,22
1067282,49
1399,29
298618,44
118340,12
1016121,24
96237,43
11,30
214079,22
667538,13
19995,11
569094,43
882569,30
1068141,45
97546,10
438631,32
283995,38
536554,6
631842,36
634649,1
785084,33
726759,7
157160,41
154385,32
361743,45
197548,36
221802,4
671,22
130987,45
693134,48
989473,4
60735,42
203737,45
545611,42
138455,40
646389,18
516806,27
615777,47
1396,5
202998,15
299536,30
73107,22
299534,7
638974,14
85949,23
983282,10
646385,33
937278,24
436270,19
414906,12
157336,3
46952,3
893752,19
245891,8
201289,6
66732,19
117488,26
210269,44
842675,25
201019,48
964980,46
736790,18
95558,43
117465,34
120,20
813726,38
616037,41
24428,18
453395,18
597,41
136283,25
71712,41
60572,20
86031,12
218961,45
155,15
872585,2
70796,29
129552,26
1726,9
816904,27
95057,22
842934,30
46260,9
4232,45
218194,12
719256,46
933419,26
557,49
68398,5
238,3
1892,41
458156,35
27205,18
109428,27
30984,6
800787,38
196400,33
208891,49
1402,11
944152,21
324552,18
1891,35
79744,38
1100962,23
456,31
507086,7
75450,40
204832,35
987257,7
71728,38
603,35
385128,19
768362,37
876792,11
122,21
202099,25
758009,44
12971,8
1416,28
57243,16
949423,30
105,36
718930,23
1668,41
42009,36
348,12
195868,46
153312,41
497828,50
73586,21
128010,28
958196,39
49046,17
680,30
208953,4
119051,36
84773,17
71446,10
278,50
849869,9
223668,30
372058,49
121,5
31910,14
88803,30
1434,29
550,33
817758,32
324857,46
791373,14
842945,27
271110,42
842942,17
223313,41
497698,8
140607,15
287947,19
128024,18
10138,4
208493,24
62,3
329,47
1893,23
209112,30
102899,17
330459,11
335977,25
99861,38
138169,27
284054,11
71912,49
830896,21
774752,27
315635,17
94997,4
335984,43
9799,31
475557,19
1771,11
1073413,46
203040,40
60059,2
194704,27
158258,34
906221,3
762504,20
764,7
942922,38
69050,4
653851,22
1858,24
862,6
2190,50
10681,23
496243,3
566525,32
158916,44
181812,36
1895,46
272,14
429617,21
42573,36
22,15
123856,14
900667,15
436969,1
68721,37
78,31
83121,27
129,36
387,36
370172,24
672,10
8587,27
293660,6
75219,31
208569,34
181808,12
280,18
980078,4
810389,43
1418,23
46195,22
2316,29
524434,44
972230,40
13,3
438148,18
299537,48
137206,15
100402,25
674324,9
10195,24
675353,28
363088,21
85853,27
976573,7
346698,44
12609,49
920,17
98,48
284052,8
297802,23
94617,15
12445,30
284053,5
85,31
73833,11
210239,41
842544,15
593643,17
87049,12
76479,35
9615,2
76341,31
221869,32
674,26
1724,23
384018,7
985939,25
767,1
558,10
673,5
49026,1
119769,31
214997,13
1066298,16
808,48
168259,18
1894,25
97951,29
83867,33
45790,43
98892,4
45782,28
84958,42
19885,26
4614,2
220150,28
383498,16
30983,3
97890,18
348350,42
624860,41
207743,30
12444,43
296271,21
65930,35
65334,33
399566,19
100049,36
952701,22
109445,1
4233,46
760099,14
14160,2
71790,8
333339,20
675,31
208713,45
49521,40
873256,37
200732,5
101,44
114410,10
1015963,28
312221,46
661374,10
157744,41
338953,39
4194,28
559,37
263115,23
584,37
199920,34
60574,19
882598,25
1101799,1
60625,17
354912,10
120998,19
564,30
12,16
104716,45
156022,38
635302,47
1924,15
218,38
948,44
20352,16
766507,10
41446,8
106646,38
89,35
744,40
89393,32
269149,44
890,3
1930,4
61709,1
8656,47
120089,49
70160,43
200701,17
337339,28
10144,32
46296,9
91314,9
514999,13
274,3
864692,39
36557,47
9502,3
535167,22
424,37
881164,34
63247,7
208067,22
585,34
335787,19
135397,15
577922,37
108284,16
76338,10
8966,14
857,15
47663,34
578,16
51497,11
667216,11
655,32
313369,3
955991,25
1366,9
399579,31
65676,27
204589,2
705996,13
2288,17
965150,10
72505,27
63926,8
718789,8
1408,32
335983,8
68718,34
85271,28
122917,9
214999,6
65942,48
765,42
205366,47
4234,3
676710,28
679,4
420818,15
28,9
102382,36
85720,28
297762,44
1622,47
869626,26
568160,17
62286,8
417859,35
139280,33
550988,38
224490,9
49051,46
335988,41
242,36
150540,31
1271,19
58,41
346364,16
609681,35
546554,37
38757,25
104711,4
877269,37
760104,18
568124,23
820067,18
954,39
87108,28
112693,32
13804,49
877703,28
901563,25
44006,33
240,42
301528,17
63333,10
580489,45
424783,24
844417,31
24,10
425,50
353081,33
562,32
58841,44
65844,28
165,35
93405,29
107365,43
13916,39
9806,11
285,7
2062,46
7842,46
62715,49
694,40
105971,14
1972,36
508947,44
10020,37
268,48
210757,25
807,45
555604,6
724495,33
389,45
1865,3
177572,16
82684,8
57532,5
203489,45
194829,46
