MediaID,GenreID
493529,12
493529,14
493529,35
447365,878
447365,12
447365,28
758323,27
758323,9648
758323,53
640146,28
640146,12
640146,878
934433,27
934433,9648
934433,53
502356,16
502356,12
502356,10751
502356,14
502356,35
649609,27
649609,35
649609,14
420808,10751
420808,14
420808,28
420808,12
713704,27
76600,878
76600,12
76600,28
868759,28
868759,35
868759,10749
114922,18
114922,80
114922,10759
125988,10765
125988,18
85937,16
85937,10759
85937,10765
603692,28
603692,53
603692,80
594767,28
594767,35
594767,14
594767,12
1102776,53
1102776,28
1102776,80
82856,10765
82856,10759
82856,18
700391,878
700391,12
700391,53
196454,18
225008,18
225008,10751
225008,80
225008,9648
385687,28
385687,80
385687,53
739405,28
739405,35
739405,12
124800,80
124800,18
156819,18
948713,28
948713,12
948713,36
948713,18
948713,10752
103768,18
103768,10765
876969,28
876969,53
677179,18
677179,28
114478,16
114478,10765
114478,10759
942199,878
942199,53
37854,10759
37854,35
37854,16
804150,53
804150,35
804150,80
1085103,27
1085103,9648
1085103,53
124364,9648
124364,18
124364,10765
203857,18
76331,18
916224,16
916224,18
916224,12
916224,14
100088,18
1429,10765
1429,16
1429,10759
505642,28
505642,12
505642,878
315162,16
315162,10751
315162,14
315162,12
315162,35
315162,18
447277,12
447277,10751
447277,14
447277,10749
1067282,28
1067282,16
1067282,14
1399,10765
1399,18
1399,10759
298618,878
298618,28
298618,12
118340,28
118340,878
118340,12
1016121,10749
1016121,18
1016121,35
96237,18
11,12
11,28
11,878
214079,18
214079,9648
667538,28
667538,12
667538,878
19995,28
19995,12
19995,14
19995,878
569094,16
569094,28
569094,12
569094,878
882569,28
882569,18
882569,10752
1068141,28
1068141,12
1068141,878
1068141,10751
97546,35
97546,18
438631,878
438631,12
283995,12
283995,28
283995,878
536554,878
536554,27
536554,35
631842,27
634649,28
634649,12
634649,878
785084,18
726759,53
726759,36
726759,18
157160,18
154385,35
154385,18
361743,28
361743,18
197548,35
197548,18
197548,10765
221802,80
221802,18
671,12
671,14
130987,9648
130987,18
693134,28
693134,12
693134,878
989473,9648
989473,53
60735,18
60735,10765
203737,16
203737,18
545611,28
545611,12
545611,878
138455,18
646389,28
646389,12
646389,53
516806,878
516806,53
516806,18
615777,18
615777,35
1396,18
1396,80
202998,16
202998,10762
202998,10759
299536,12
299536,28
299536,878
73107,35
73107,80
73107,18
299534,12
299534,878
299534,28
638974,35
638974,80
85949,10765
85949,10759
983282,18
983282,53
983282,878
646385,27
646385,9648
646385,53
937278,35
937278,18
436270,28
436270,12
436270,878
436270,14
414906,80
414906,9648
414906,53
157336,12
157336,18
157336,878
46952,18
46952,80
46952,9648
893752,35
245891,28
245891,53
201289,9648
201289,18
66732,18
66732,10765
66732,9648
117488,18
117488,9648
210269,18
842675,878
842675,28
842675,18
201019,10765
201019,10759
201019,18
964980,18
964980,36
736790,12
736790,14
736790,10751
95558,10765
95558,9648
95558,18
117465,16
117465,18
117465,10759
117465,10765
120,12
120,14
120,28
813726,10749
813726,35
813726,12
616037,14
616037,28
616037,35
24428,878
24428,28
24428,12
453395,14
453395,28
453395,12
597,18
597,10749
136283,18
71712,18
60572,16
60572,10759
60572,10765
86031,10759
86031,16
218961,18
155,18
155,28
155,80
155,53
872585,18
872585,36
70796,35
70796,18
129552,18
129552,9648
129552,10759
1726,28
1726,878
1726,12
816904,16
816904,35
816904,10751
816904,12
816904,14
95057,10765
95057,18
842934,53
46260,16
46260,10759
46260,10765
4232,80
4232,27
4232,9648
218194,80
218194,18
218194,9648
719256,18
719256,36
933419,35
557,14
557,28
68398,18
238,18
238,80
1892,12
1892,28
1892,878
458156,28
458156,53
458156,80
27205,28
27205,878
27205,12
109428,27
30984,10759
30984,16
30984,10765
800787,35
800787,18
196400,16
196400,10765
196400,10759
208891,16
208891,9648
208891,10759
208891,10765
1402,10759
1402,18
1402,10765
944152,53
944152,18
324552,28
324552,53
324552,80
1891,12
1891,28
1891,878
79744,80
79744,18
1100962,35
1100962,18
456,10751
456,16
456,35
507086,12
507086,28
507086,878
75450,10759
75450,10765
75450,18
204832,16
204832,35
204832,10759
204832,10765
987257,18
987257,36
71728,35
71728,10751
603,28
603,878
385128,28
385128,12
385128,80
385128,53
768362,53
876792,16
876792,14
876792,12
122,12
122,14
122,28
202099,10759
758009,28
758009,35
758009,10749
12971,16
12971,10765
12971,10759
1416,18
57243,10759
57243,18
57243,10765
949423,27
105,12
105,35
105,878
718930,28
718930,35
718930,53
1668,35
1668,18
42009,10765
42009,18
42009,9648
348,27
348,878
195868,10759
195868,18
153312,80
153312,18
497828,35
497828,18
73586,37
73586,18
128010,10759
128010,10765
128010,18
958196,18
958196,53
49046,18
49046,10752
49046,36
680,53
680,80
208953,35
119051,10765
119051,9648
119051,35
84773,10759
84773,10765
84773,18
71446,80
71446,18
278,18
278,80
849869,28
849869,80
849869,53
223668,18
223668,80
372058,10749
372058,16
372058,18
121,12
121,14
121,28
31910,16
31910,10759
31910,10765
88803,16
88803,10759
88803,18
88803,10768
1434,16
1434,35
550,18
550,53
550,35
817758,18
